e1,alpha1,e2,alpha2,e3,alpha3,e4,alpha4,e5,alpha5,e6,alpha6,e7,alpha7
2.0243,2.54058,1.9965,3.00377,1.949,3.07738,1.9002,4.21956,1.8427,4.70205,,,,
2.0232,2.5771,1.9954,3.13318,1.9479,3.02102,1.8991,4.22085,1.8416,4.54817,,,,
2.0222,2.81887,1.9944,3.5136,1.9469,3.12415,1.8981,4.207,1.8406,4.43092,,,,
2.0212,3.02766,1.9934,3.8424,1.9459,3.21292,1.8971,4.11728,1.8396,4.27415,,,,
2.0202,2.63684,1.9924,3.44065,1.9449,2.83303,1.8961,4.03242,1.8386,4.22284,,,,
2.0192,2.5672,1.9914,3.48583,1.9439,2.64857,1.8951,3.80495,1.8376,3.98278,,,,
2.0181,2.73411,1.9903,3.76471,1.9428,2.70351,1.894,3.7558,1.8365,3.98138,,,,
2.0171,2.74403,1.9893,3.87753,1.9418,2.61053,1.893,3.48106,1.8355,3.85142,,,,
2.0161,2.91323,1.9883,4.09536,1.9408,2.7311,1.892,3.44813,1.8345,3.96944,,,,
2.0151,2.99661,1.9873,4.21589,1.9398,2.77734,1.891,3.52523,1.8335,4.14567,,,,
2.0141,3.19561,1.9863,4.49461,1.9388,2.89661,1.89,3.76554,1.8325,4.57103,,,,
2.013,3.38441,1.9852,4.72959,1.9377,3.03923,1.8889,3.87887,1.8314,4.84841,,,,
2.012,3.5868,1.9842,4.92209,1.9367,3.25152,1.8879,4.03952,1.8304,5.10652,,,,
2.011,3.57955,1.9832,4.86419,1.9357,3.29491,1.8869,4.27184,1.8294,5.46361,,,,
2.01,3.71993,1.9822,4.96613,1.9347,3.47372,1.8859,4.46642,1.8284,5.5703,,,,
2.009,3.9294,1.9812,5.182,1.9337,3.67679,1.8849,4.63009,1.8274,5.71212,,,,
2.008,3.99832,1.9802,5.21489,1.9327,3.78175,1.8839,4.69261,1.8264,5.66213,,,,
2.007,3.79524,1.9792,4.88046,1.9317,3.71001,1.8829,4.47991,1.8254,5.24762,,,,
2.006,3.76539,1.9782,4.76327,1.9307,3.7675,1.8819,4.29194,1.8244,4.87448,,,,
2.005,3.60558,1.9772,4.52187,1.9297,3.68929,1.8809,3.93642,1.8234,4.43697,,,,
2.004,3.63308,1.9762,4.47204,1.9287,3.79412,1.8799,3.68729,1.8224,4.0797,,,,
2.003,3.60095,1.9752,4.40679,1.9277,3.7951,1.8789,3.66391,1.8214,4.01358,,,,
2.002,3.45396,1.9742,4.22109,1.9267,3.68683,1.8779,3.60781,1.8204,3.92631,,,,
2.001,3.52609,1.9732,4.26056,1.9257,3.79162,1.8769,3.82533,1.8194,4.04932,,,,
1.9999,3.72246,1.9721,4.53943,1.9246,3.90549,1.8758,4.13784,1.8183,4.37591,,,,
1.9989,3.66956,1.9711,4.49541,1.9236,3.84371,1.8748,4.36632,1.8173,4.60981,,,,
1.9979,3.70812,1.9701,4.56657,1.9226,3.84967,1.8738,4.66518,1.8163,4.93924,,,,
1.997,3.71756,1.9692,4.62131,1.9217,3.8138,1.8729,4.70981,1.8154,5.00423,,,,
1.996,3.84956,1.9682,4.79608,1.9207,3.90305,1.8719,4.62413,1.8144,4.88315,,,,
1.995,3.82011,1.9672,4.80836,1.9197,3.83185,1.8709,4.41662,1.8134,4.61305,,,,
1.994,3.66278,1.9662,4.68591,1.9187,3.63965,1.8699,3.85279,1.8124,3.94039,,,,
1.993,3.46294,1.9652,4.51366,1.9177,3.41221,1.8689,3.33591,1.8114,3.35995,,,,
1.992,3.08096,1.9642,4.14809,1.9167,3.01382,1.8679,2.64154,1.8104,2.6442,,,,
1.991,2.80218,1.9632,3.96181,1.9157,2.64255,1.8669,2.03216,1.8094,1.95421,,,,
1.99,2.48515,1.9622,3.70431,1.9147,2.266,1.8659,1.48416,1.8084,1.42447,,,,
1.989,2.12462,1.9612,3.35844,1.9137,1.8908,1.8649,1.06294,1.8074,0.9848,,,,
1.988,1.78968,1.9602,3.00342,1.9127,1.57594,1.8639,0.68187,1.8064,0.54455,,,,
1.987,1.51932,1.9592,2.71485,1.9117,1.3238,1.8629,0.63363,1.8054,0.70545,,,,
1.986,1.29576,1.9582,2.4521,1.9107,1.13942,1.8619,0.50518,1.8044,0.7031,,,,
1.9851,1.47955,1.9573,2.66437,1.9098,1.29472,1.861,0.92929,1.8035,1.27809,,,,
1.9841,1.69432,1.9563,2.86152,1.9088,1.52711,1.86,1.28949,1.8025,1.74621,,,,
1.9831,2.05918,1.9553,3.25424,1.9078,1.86413,1.859,1.82499,1.8015,2.3292,,,,
1.9821,2.25891,1.9543,3.4733,1.9068,2.04451,1.858,2.0739,1.8005,2.65327,,,,
1.9811,2.53629,1.9533,3.79778,1.9058,2.27481,1.857,2.33146,,,,,,
1.9801,2.84203,1.9523,4.17974,1.9048,2.50433,1.856,2.43171,,,,,,
1.9791,3.0729,1.9513,4.44303,1.9038,2.70278,1.855,2.63673,,,,,,
1.9782,3.34224,1.9504,4.73545,1.9029,2.94903,1.8541,2.98324,,,,,,
1.9772,3.37586,1.9494,4.75917,1.9019,2.99254,1.8531,3.1633,,,,,,
1.9762,3.49337,1.9484,4.87575,1.9009,3.11099,1.8521,3.56524,,,,,,
1.9752,3.53261,1.9474,4.852,1.8999,3.21322,1.8511,3.77825,,,,,,
1.9742,3.29685,1.9464,4.43712,1.8989,3.15659,1.8501,3.94006,,,,,,
1.9733,3.12942,1.9455,4.14206,1.898,3.11679,1.8492,4.14275,,,,,,
1.9723,3.07832,1.9445,3.99056,1.897,3.16609,1.8482,4.23181,,,,,,
1.9713,2.87327,1.9435,3.66771,1.896,3.07884,1.8472,4.3098,,,,,,
1.9703,2.54647,1.9425,3.249,1.895,2.84393,1.8462,4.18389,,,,,,
1.9693,2.28898,1.9415,2.89795,1.894,2.68002,1.8452,3.79306,,,,,,
1.9684,1.99345,1.9406,2.56921,1.8931,2.4177,1.8443,3.48203,,,,,,
1.9674,1.70693,1.9396,2.41149,1.8921,2.00238,1.8433,2.80075,,,,,,
1.9665,1.49129,1.9387,2.27084,1.8912,1.71174,1.8424,2.36643,,,,,,
1.9655,1.41165,1.9377,2.28929,1.8902,1.534,1.8414,1.91775,,,,,,
1.9645,1.38073,1.9367,2.31417,1.8892,1.44729,1.8404,1.34107,,,,,,
1.9635,1.46962,1.9357,2.44114,1.8882,1.4981,1.8394,1.07613,,,,,,
1.9626,1.17034,1.9348,2.12884,1.8873,1.21185,1.8385,0.62907,,,,,,
1.9616,1.12472,1.9338,2.06514,1.8863,1.18429,1.8375,0.40644,,,,,,
1.9606,1.40557,1.9328,2.29604,1.8853,1.51509,1.8365,0.5169,,,,,,
1.9597,1.55349,1.9319,2.39086,1.8844,1.71612,1.8356,0.47024,,,,,,
1.9587,1.82592,1.9309,2.75907,1.8834,1.89277,1.8346,0.42853,,,,,,
1.9577,1.96985,1.9299,2.93045,1.8824,2.00926,1.8336,0.41283,,,,,,
1.9568,2.148,1.929,3.14143,1.8815,2.15456,1.8327,0.43339,,,,,,
1.9558,2.27732,1.928,3.31184,1.8805,2.24279,1.8317,0.4972,,,,,,
1.9549,2.34705,1.9271,3.44498,1.8796,2.24913,1.8308,0.72595,,,,,,
1.9539,2.30393,1.9261,3.47226,1.8786,2.13559,1.8298,0.85306,,,,,,
1.9529,2.35898,1.9251,3.58589,1.8776,2.13208,1.8288,1.00863,,,,,,
1.952,2.46414,1.9242,3.70942,1.8767,2.21885,1.8279,1.39926,,,,,,
1.951,2.5158,1.9232,3.79462,1.8757,2.23698,1.8269,1.80725,,,,,,
1.9501,2.56447,1.9223,3.81261,1.8748,2.31632,1.826,2.36465,,,,,,
1.9491,2.93597,1.9213,4.1626,1.8738,2.70934,1.825,3.13482,,,,,,
1.9482,2.93347,1.9204,4.07626,1.8729,2.79068,1.8241,3.51786,,,,,,
1.9472,3.10576,1.9194,4.19861,1.8719,3.0129,1.8231,3.91597,,,,,,
1.9463,3.02747,1.9185,4.14073,1.871,2.9142,1.8222,3.9727,,,,,,
1.9453,2.4687,1.9175,3.46876,1.87,2.46864,1.8212,3.62751,,,,,,
1.9444,2.0126,1.9166,2.93035,1.8691,2.09486,1.8203,3.24903,,,,,,
1.9434,1.61927,1.9156,2.47914,1.8681,1.7594,1.8193,2.74515,,,,,,
1.9425,1.28253,1.9147,2.13738,1.8672,1.42767,1.8184,2.36976,,,,,,
1.9415,1.29226,1.9137,2.19801,1.8662,1.38651,1.8174,2.19568,,,,,,
1.9406,1.09595,1.9128,2.01618,1.8653,1.17571,1.8165,2.07981,,,,,,
1.9396,1.0949,1.9118,2.00282,1.8643,1.18698,1.8155,2.27336,,,,,,
1.9387,1.16362,1.9109,2.11533,1.8634,1.21191,1.8146,2.30987,,,,,,
1.9377,1.48924,1.9099,2.49502,1.8624,1.48347,1.8136,2.58345,,,,,,
1.9368,1.41407,1.909,2.43491,1.8615,1.39324,1.8127,2.46034,,,,,,
1.9359,1.39312,1.9081,2.48336,1.8606,1.30287,1.8118,2.27962,,,,,,
1.9349,1.23731,1.9071,2.37616,1.8596,1.09845,1.8108,1.90596,,,,,,
1.934,1.26884,1.9062,2.41897,1.8587,1.11872,1.8099,1.71726,,,,,,
1.933,1.39332,1.9052,2.57635,1.8577,1.21029,1.8089,1.52102,,,,,,
1.9321,1.70488,1.9043,2.97545,1.8568,1.43432,1.808,1.55303,,,,,,
1.9312,1.84298,1.9034,3.19396,1.8559,1.492,1.8071,1.28032,,,,,,
1.9302,2.36382,1.9024,3.84442,1.8549,1.88322,1.8061,1.45119,,,,,,
1.9293,2.466,1.9015,3.8893,1.854,2.04271,1.8052,1.44968,,,,,,
1.9284,2.59912,1.9006,3.97809,1.8531,2.22016,1.8043,1.71286,,,,,,
1.9274,2.70067,1.8996,4.02244,1.8521,2.37891,1.8033,1.75661,,,,,,
1.9265,2.59188,1.8987,3.7952,1.8512,2.38855,1.8024,1.87654,,,,,,
1.9255,2.53554,1.8977,3.56977,1.8502,2.5013,1.8014,1.95649,,,,,,
1.9246,2.41209,1.8968,3.31393,1.8493,2.51025,1.8005,2.00804,,,,,,
1.9237,2.17159,1.8959,3.04411,1.8484,2.29906,,,,,,,,
1.9228,2.05224,1.895,3.01225,1.8475,2.09222,,,,,,,,
1.9218,2.05467,1.894,3.00523,1.8465,2.10412,,,,,,,,
1.9209,2.04646,1.8931,3.08565,1.8456,2.00726,,,,,,,,
1.92,2.10141,1.8922,3.19306,1.8447,2.00975,,,,,,,,
1.9191,2.16557,1.8913,3.34783,1.8438,1.98331,,,,,,,,
1.9181,1.91867,1.8903,3.08074,1.8428,1.7566,,,,,,,,
1.9172,1.84505,1.8894,2.98321,1.8419,1.7069,,,,,,,,
1.9163,1.92528,1.8885,2.99237,1.841,1.85819,,,,,,,,
1.9154,1.80303,1.8876,2.85575,1.8401,1.7503,,,,,,,,
1.9144,1.635,1.8866,2.66149,1.8391,1.6085,,,,,,,,
1.9135,1.47661,1.8857,2.52291,1.8382,1.43031,,,,,,,,
1.9126,1.20823,1.8848,2.18532,1.8373,1.23115,,,,,,,,
1.9117,1.29493,1.8839,2.33322,1.8364,1.25664,,,,,,,,
1.9108,1.3614,1.883,2.38167,1.8355,1.34112,,,,,,,,
1.9098,1.47811,1.882,2.54334,1.8345,1.41288,,,,,,,,
1.9089,1.63832,1.8811,2.76892,1.8336,1.50772,,,,,,,,
1.908,1.96812,1.8802,3.1376,1.8327,1.79865,,,,,,,,
1.9071,2.32964,1.8793,3.51546,1.8318,2.14382,,,,,,,,
1.9062,2.68382,1.8784,3.89829,1.8309,2.46935,,,,,,,,
1.9052,2.97078,1.8774,4.177,1.8299,2.76455,,,,,,,,
1.9043,2.96347,1.8765,4.14467,1.829,2.78227,,,,,,,,
1.9034,3.12939,1.8756,4.34262,1.8281,2.91616,,,,,,,,
1.9025,3.17439,1.8747,4.41523,1.8272,2.93354,,,,,,,,
1.9016,2.92779,1.8738,4.14539,1.8263,2.7102,,,,,,,,
1.9007,2.90997,1.8729,4.0842,1.8254,2.73574,,,,,,,,
1.8998,2.60904,1.872,3.70178,1.8245,2.51629,,,,,,,,
1.8989,2.3569,1.8711,3.35712,1.8236,2.35668,,,,,,,,
1.898,2.42607,1.8702,3.43438,1.8227,2.41776,,,,,,,,
1.8971,2.34898,1.8693,3.24682,1.8218,2.45114,,,,,,,,
1.8962,2.13445,1.8684,2.87597,1.8209,2.39293,,,,,,,,
1.8953,2.2434,1.8675,2.85372,1.82,2.63308,,,,,,,,
1.8943,2.10766,1.8665,2.68087,1.819,2.53446,,,,,,,,
1.8934,2.31047,1.8656,2.97745,1.8181,2.6435,,,,,,,,
1.8925,2.25432,1.8647,3.00702,1.8172,2.50162,,,,,,,,
1.8916,2.17119,1.8638,2.95648,1.8163,2.3859,,,,,,,,
1.8907,2.1041,1.8629,2.97521,1.8154,2.23298,,,,,,,,
